users,concurrency,complexity,variant_1,variant_2,t_stat,p_value,significant
10000,1,easy,postgres_normal,postgres_optimized,-0.03300860596527151,0.9736898238382093,False
10000,1,medium,neo4j_normal,neo4j_optimized,-0.005380643693302288,0.9957104936338836,False
10000,1,medium,neo4j_normal,postgres_normal,7.41366585066553,7.473689333812902e-12,True
10000,1,medium,neo4j_normal,postgres_optimized,8.453108683913888,2.3672380247051075e-14,True
10000,1,medium,neo4j_optimized,postgres_normal,7.7051738116441255,1.4367484815396986e-12,True
10000,1,medium,neo4j_optimized,postgres_optimized,8.791169340275351,3.295529045733835e-15,True
10000,1,medium,postgres_normal,postgres_optimized,6.62071968900216,4.950526380330645e-10,True
10000,1,update,neo4j_normal,neo4j_optimized,-0.5510243878440608,0.5819337304326586,False
10000,1,update,neo4j_normal,postgres_normal,8.643091541931982,1.7958453026648386e-15,True
10000,1,update,neo4j_normal,postgres_optimized,8.59020618452327,2.5141596940611394e-15,True
10000,1,update,neo4j_optimized,postgres_normal,8.104181639672623,5.2894138915309643e-14,True
10000,1,update,neo4j_optimized,postgres_optimized,8.059007435113777,6.992138695996665e-14,True
10000,1,update,postgres_normal,postgres_optimized,-3.095947575141563,0.0021018316824787434,True
10000,1,very_complex,neo4j_normal,neo4j_optimized,1.782441419359056,0.07577591801442495,False
10000,1,very_complex,neo4j_normal,postgres_normal,12.205697975470398,2.4401747169685146e-24,True
10000,1,very_complex,neo4j_normal,postgres_optimized,12.360052423754064,6.463260688411306e-25,True
10000,1,very_complex,neo4j_optimized,postgres_normal,13.281734929496869,2.209313185947666e-27,True
10000,1,very_complex,neo4j_optimized,postgres_optimized,13.441093694523266,3.727333714723696e-28,True
10000,1,very_complex,postgres_normal,postgres_optimized,1.217527912177745,0.2244829032329629,False
10000,3,complex,neo4j_normal,neo4j_optimized,-0.819521190804902,0.41315439726841463,False
10000,3,complex,neo4j_normal,postgres_normal,8.383794245843099,1.4782276563010083e-14,True
10000,3,complex,neo4j_normal,postgres_optimized,11.793410687546578,1.4670683331906927e-23,True
10000,3,complex,neo4j_optimized,postgres_normal,8.517950679754406,7.797823943655724e-15,True
10000,3,complex,neo4j_optimized,postgres_optimized,11.516736021623082,1.0652333275003688e-22,True
10000,3,complex,postgres_normal,postgres_optimized,8.53349914606761,1.2718469055029946e-15,True
10000,3,create,neo4j_normal,neo4j_optimized,-3.8650767603580385,0.0001458239908788406,True
10000,3,create,neo4j_normal,postgres_normal,-10.959424277315783,1.3709907277910503e-22,True
10000,3,create,neo4j_normal,postgres_optimized,-12.88332769355082,5.235388544383088e-30,True
10000,3,create,neo4j_optimized,postgres_normal,1.2632158326779597,0.20798050914866129,False
10000,3,create,neo4j_optimized,postgres_optimized,0.5789635919921882,0.5632540054320627,False
10000,3,create,postgres_normal,postgres_optimized,-5.686676227676046,3.068633044425952e-08,True
10000,3,delete,neo4j_normal,neo4j_optimized,-5.533815567878303,7.047071990437403e-08,True
10000,3,delete,neo4j_normal,postgres_normal,-27.508162503946618,1.9246364490867152e-72,True
10000,3,delete,neo4j_normal,postgres_optimized,-27.03853751407543,1.3820269390749963e-81,True
10000,3,delete,neo4j_optimized,postgres_normal,-7.4493118399251435,2.644477261145002e-12,True
10000,3,delete,neo4j_optimized,postgres_optimized,-8.294897540869899,1.0402387456462023e-14,True
10000,3,delete,postgres_normal,postgres_optimized,-4.002129687334846,8.166629283296668e-05,True
10000,3,easy,neo4j_normal,neo4j_optimized,0.02686289588478789,0.978587067722458,False
10000,3,easy,neo4j_normal,postgres_normal,6.110274099110726,8.279710559308409e-09,True
10000,3,easy,neo4j_normal,postgres_optimized,6.111246501593451,8.239477519763047e-09,True
10000,3,easy,neo4j_optimized,postgres_normal,6.085010827454967,9.395360910339677e-09,True
10000,3,easy,neo4j_optimized,postgres_optimized,6.085985260551003,9.349716031765987e-09,True
10000,3,easy,postgres_normal,postgres_optimized,0.05579489862724572,0.955542588354203,False
10000,3,medium,neo4j_normal,neo4j_optimized,-0.6067449516946004,0.5444989625689038,False
10000,3,medium,neo4j_normal,postgres_normal,6.860305415117987,1.503264819986455e-10,True
10000,3,medium,neo4j_normal,postgres_optimized,8.098746307895304,1.8214096238191034e-13,True
10000,3,medium,neo4j_optimized,postgres_normal,6.457507022637902,1.3148717741722683e-09,True
10000,3,medium,neo4j_optimized,postgres_optimized,7.462853410426022,6.507643160272231e-12,True
10000,3,medium,postgres_normal,postgres_optimized,7.091800183933448,4.237674403236991e-11,True
10000,3,update,neo4j_normal,neo4j_optimized,0.2405261395226228,0.8100476535830505,False
10000,3,update,neo4j_normal,postgres_normal,6.6956482656162875,2.1414359037055852e-10,True
10000,3,update,neo4j_normal,postgres_optimized,6.666955860879322,2.513225287440758e-10,True
10000,3,update,neo4j_optimized,postgres_normal,7.091871406391387,2.258788445396239e-11,True
10000,3,update,neo4j_optimized,postgres_optimized,7.05996685726042,2.7153101977461718e-11,True
10000,3,update,postgres_normal,postgres_optimized,-1.6370759388178613,0.10241942173666121,False
10000,3,very_complex,neo4j_normal,neo4j_optimized,1.571547984793217,0.1171384521210442,False
10000,3,very_complex,neo4j_normal,postgres_normal,8.827811409461972,2.3304415515410005e-15,True
10000,3,very_complex,neo4j_normal,postgres_optimized,9.329757645721712,9.909851101898526e-17,True
10000,3,very_complex,neo4j_optimized,postgres_normal,7.799788292421551,8.75838441253028e-13,True
