users,concurrency,variant,query_no,p50_duration
10000,5,neo4j_optimized,8,58.584999999999994
10000,5,neo4j_optimized,9,70.725
10000,5,neo4j_optimized,10,40.38
10000,5,neo4j_optimized,11,166.77499999999998
10000,5,neo4j_optimized,12,60.955
10000,5,neo4j_optimized,13,14.11
10000,5,neo4j_optimized,14,15.09
10000,5,neo4j_optimized,15,17.365000000000002
10000,5,neo4j_optimized,16,50.605000000000004
10000,5,neo4j_optimized,17,456.78499999999997
10000,5,neo4j_optimized,18,3.645
10000,5,neo4j_optimized,19,22.035
10000,5,neo4j_optimized,20,16.240000000000002
10000,5,neo4j_optimized,21,13.935
10000,5,neo4j_optimized,22,12.81
10000,5,neo4j_optimized,23,18.95
10000,5,neo4j_optimized,24,35.709999999999994
10000,5,postgres_normal,1,91.005
10000,5,postgres_normal,2,44.004999999999995
10000,5,postgres_normal,3,45.815
10000,5,postgres_normal,4,48.480000000000004
10000,5,postgres_normal,5,406.515
10000,5,postgres_normal,6,44.955
10000,5,postgres_normal,7,80.84
10000,5,postgres_normal,8,60.765
10000,5,postgres_normal,9,48.045
10000,5,postgres_normal,10,72.16499999999999
10000,5,postgres_normal,11,88.165
10000,5,postgres_normal,12,71.47999999999999
10000,5,postgres_normal,13,45.405
10000,5,postgres_normal,14,45.21
10000,5,postgres_normal,15,45.615
10000,5,postgres_normal,16,45.465
10000,5,postgres_normal,17,44.955
10000,5,postgres_normal,18,45.07
10000,5,postgres_normal,19,44.635000000000005
10000,5,postgres_normal,20,45.14
10000,5,postgres_normal,21,45.525000000000006
10000,5,postgres_normal,22,44.9
10000,5,postgres_normal,23,45.144999999999996
10000,5,postgres_normal,24,45.010000000000005
10000,5,postgres_optimized,1,87.945
10000,5,postgres_optimized,2,44.099999999999994
10000,5,postgres_optimized,3,45.355000000000004
10000,5,postgres_optimized,4,49.004999999999995
10000,5,postgres_optimized,5,74.145
10000,5,postgres_optimized,6,45.33
10000,5,postgres_optimized,7,46.379999999999995
10000,5,postgres_optimized,8,64.245
10000,5,postgres_optimized,9,45.685
10000,5,postgres_optimized,10,64.61
10000,5,postgres_optimized,11,91.49000000000001
10000,5,postgres_optimized,12,65.6
10000,5,postgres_optimized,13,45.83
10000,5,postgres_optimized,14,45.905
10000,5,postgres_optimized,15,46.1
10000,5,postgres_optimized,16,46.035
10000,5,postgres_optimized,17,45.39
10000,5,postgres_optimized,18,45.625
10000,5,postgres_optimized,19,45.405
10000,5,postgres_optimized,20,46.03
10000,5,postgres_optimized,21,45.46
10000,5,postgres_optimized,22,44.99
10000,5,postgres_optimized,23,45.715
10000,5,postgres_optimized,24,45.65
10000,10,neo4j_normal,1,10588.225
10000,10,neo4j_normal,2,73.75
10000,10,neo4j_normal,3,270.985
10000,10,neo4j_normal,4,2208.7749999999996
10000,10,neo4j_normal,5,22.595
10000,10,neo4j_normal,6,69.375
10000,10,neo4j_normal,7,356.4
10000,10,neo4j_normal,8,116.24000000000001
10000,10,neo4j_normal,9,126.775
10000,10,neo4j_normal,10,57.565
10000,10,neo4j_normal,11,225.46
10000,10,neo4j_normal,12,57.29
10000,10,neo4j_normal,13,14.415
10000,10,neo4j_normal,14,15.805
10000,10,neo4j_normal,15,14.96
10000,10,neo4j_normal,16,30.049999999999997
10000,10,neo4j_normal,17,490.065
10000,10,neo4j_normal,18,4.545
10000,10,neo4j_normal,19,25.685000000000002
10000,10,neo4j_normal,20,22.7
10000,10,neo4j_normal,21,15.16
10000,10,neo4j_normal,22,12.665
10000,10,neo4j_normal,23,15.82
10000,10,neo4j_normal,24,22.645
