users,concurrency,variant,query_no,n,mean,std,ci_lower,ci_upper
1000,1,postgres_normal,20,50,2.6029999999999998,1.6733057224596846,2.127451775393947,3.0785482246060525
1000,1,postgres_normal,21,50,2.2372,1.1065814982390128,1.922713017850719,2.551686982149281
1000,1,postgres_normal,22,50,2.5223999999999998,1.6977386640553875,2.039908010221937,3.0048919897780624
1000,1,postgres_normal,23,50,2.4324,1.6270175042646817,1.970006741451467,2.8947932585485328
1000,1,postgres_normal,24,50,2.826000000000001,1.9017306833084262,2.2855341198040007,3.3664658801960012
1000,1,postgres_optimized,1,50,34.9352,30.83968032603848,26.17065982684634,43.699740173153664
1000,1,postgres_optimized,2,50,0.9530000000000001,0.04205196008438579,0.9410489651765857,0.9649510348234145
1000,1,postgres_optimized,3,50,1.7738,0.04246919652008061,1.7617303878935628,1.7858696121064372
1000,1,postgres_optimized,4,50,3.3432,0.13245623073764587,3.305556355733544,3.380843644266456
1000,1,postgres_optimized,5,50,18.316999999999997,0.7242511966979186,18.11117008730943,18.522829912690565
1000,1,postgres_optimized,6,50,1.0044,0.044637313941571014,0.9917142157400298,1.01708578425997
1000,1,postgres_optimized,7,50,2.1562,0.044119041194459,2.1436615072250484,2.168738492774952
1000,1,postgres_optimized,8,50,2.1222,0.10710075363213575,2.091762302596524,2.1526376974034758
1000,1,postgres_optimized,9,50,1.5596000000000003,0.04802040382663883,1.5459527522328345,1.5732472477671662
1000,1,postgres_optimized,10,50,2.5625999999999998,0.09580613929457032,2.535372196475297,2.5898278035247024
1000,1,postgres_optimized,11,50,4.5938,0.1224559895952627,4.558998392820408,4.628601607179592
1000,1,postgres_optimized,12,50,2.5446,0.07415400411663964,2.5235256652076337,2.5656743347923663
1000,1,postgres_optimized,13,50,4.235400000000001,1.846389980254354,3.710661773592891,4.760138226407111
1000,1,postgres_optimized,14,50,4.362400000000001,2.1542085624684173,3.7501807004645,4.974619299535502
